problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error
479__largest-palindrome-product,cpp,new_transpiled_solutions/479__largest-palindrome-product/cpp/largest-palindrome-product_benchmark.cpp,0.03785128593444824,0.6395858,0.0362242,
479__largest-palindrome-product,python2,new_transpiled_solutions/479__largest-palindrome-product/cpp/largest-palindrome-product_with_tests.py,0.6036582946777344,9.2868234,0.222857,
480__sliding-window-median,cpp,new_transpiled_solutions/480__sliding-window-median/cpp/sliding-window-median_benchmark.cpp,0.02586686611175537,0.4017689,0.0244508,
480__sliding-window-median,python2,new_transpiled_solutions/480__sliding-window-median/cpp/sliding-window-median_with_tests.py,0.34117803573608396,5.4239729,0.1408446,
483__smallest-good-base,cpp,new_transpiled_solutions/483__smallest-good-base/cpp/smallest-good-base_benchmark.cpp,0.05519161224365234,0.7856061,0.0412595,
483__smallest-good-base,python2,new_transpiled_solutions/483__smallest-good-base/cpp/smallest-good-base_with_tests.py,0.09021542072296143,1.5165487,0.058453,
493__reverse-pairs,cpp,new_transpiled_solutions/493__reverse-pairs/cpp/reverse-pairs_benchmark.cpp,0.062413787841796874,0.9984531999999999,0.043567,
493__reverse-pairs,python2,new_transpiled_solutions/493__reverse-pairs/cpp/reverse-pairs_with_tests.py,1.8208328485488892,28.4647464,0.6230452,
4__median-of-two-sorted-arrays,cpp,new_transpiled_solutions/4__median-of-two-sorted-arrays/cpp/median-of-two-sorted-arrays_benchmark.cpp,0.0030622243881225585,0.0498169,0.0041567,
4__median-of-two-sorted-arrays,python2,new_transpiled_solutions/4__median-of-two-sorted-arrays/cpp/median-of-two-sorted-arrays_with_tests.py,0.0370046854019165,0.6409041,0.0369262,
514__freedom-trail,cpp,new_transpiled_solutions/514__freedom-trail/cpp/freedom-trail_benchmark.cpp,0.01468505859375,0.2398981,0.0168639,
514__freedom-trail,python2,new_transpiled_solutions/514__freedom-trail/cpp/freedom-trail_with_tests.py,0.2022216796875,3.1424845,0.0912779,
51__n-queens,cpp,new_transpiled_solutions/51__n-queens/cpp/n-queens_benchmark.cpp,4.079935026168823,57.9313397,1.3557766,
51__n-queens,python2,new_transpiled_solutions/51__n-queens/cpp/n-queens_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/51__n-queens/cpp/n-queens_with_tests.py']' returned non-zero exit status 1."
52__n-queens-ii,cpp,new_transpiled_solutions/52__n-queens-ii/cpp/n-queens-ii_benchmark.cpp,0.09623267650604247,1.4658226,0.064862,
52__n-queens-ii,python2,new_transpiled_solutions/52__n-queens-ii/cpp/n-queens-ii_with_tests.py,2.140805196762085,33.3048954,0.7228194,
546__remove-boxes,cpp,new_transpiled_solutions/546__remove-boxes/cpp/remove-boxes_benchmark.cpp,0.00465998649597168,0.0883787,0.0068298000000000005,
546__remove-boxes,python2,new_transpiled_solutions/546__remove-boxes/cpp/remove-boxes_with_tests.py,0.16140003204345704,2.6332453,0.082672,
